vento_medio,std_vento,zavorra,delay_secondi,angolo_rampa,APOGEO_MISURATO,ANGOLO_ACC_C6,INCLINAZIONE
1.35,0.27,0,2.36,-3.25,,,
0.22,0.0,0,2.85,-0.51,,,
5.77,0.44,0,2.9,-21.29,,,
3.06,0.59,0,2.12,-7.31,,,
0.84,0.19,0,2.72,-2.09,,,
1.14,0.05,0,3.3,-4.12,,,
5.95,0.71,0,2.95,-13.51,,,
4.97,0.44,0,3.37,-20.48,,,
4.45,0.63,0,2.68,-13.39,,,
2.43,0.4,0,4.15,-9.82,,,
5.69,0.0,0,3.25,-14.74,,,
0.35,0.05,0,3.56,-1.47,,,
5.28,0.89,0,3.9,-21.7,,,
1.24,0.07,0,2.02,-4.4,,,
0.89,0.17,0,3.22,-2.42,,,
3.27,0.3,0,2.22,-11.28,,,
2.64,0.47,0,4.16,-8.55,,,
1.99,0.41,0,2.64,-7.92,,,
3.23,0.64,0,2.33,-11.24,,,
4.64,0.35,0,3.76,-15.03,,,
1.75,0.39,0,3.42,-6.93,,,
4.89,1.06,0,3.81,-11.44,,,
1.54,0.04,0,2.52,-4.76,,,
3.51,0.6,0,3.18,-10.46,,,
2.87,0.09,0,2.99,-10.76,,,
0.58,0.09,0,3.68,-1.99,,,
3.83,0.2,0,2.21,-15.51,,,
4.34,0.92,0,3.11,-12.46,,,
1.84,0.03,0,3.53,-7.1,,,
3.43,0.85,0,3.48,-11.39,,,
2.32,0.57,0,3.09,-7.33,,,
2.07,0.05,0,2.56,-5.09,,,
1.02,0.07,0,2.58,-3.64,,,
1.58,0.22,0,2.47,-5.04,,,
0.71,0.08,0,2.3,-2.05,,,
3.7,0.04,0,2.81,-12.36,,,
0.46,0.02,0,3.63,-1.41,,,
5.55,0.47,0,2.17,-18.7,,,
4.13,0.45,0,2.07,-11.07,,,
0.08,0.02,0,2.42,0.0,,,
5.05,0.65,0,3.61,-13.99,,,
3.95,0.16,0,2.78,-11.22,,,
3.99,0.49,0,3.8,-10.93,,,
4.24,0.56,0,3.99,-16.49,,,
5.31,0.8,0,3.86,-13.54,,,
2.68,0.62,0,3.97,-9.81,,,
5.41,0.52,0,3.35,-15.91,,,
2.23,0.23,0,3.03,-8.54,,,
2.99,0.54,0,4.03,-7.8,,,
4.71,0.3,0,4.09,-17.85,,,
5.35,0.49,20,4.09,-20.12,,,
2.64,0.09,20,2.82,-6.36,,,
2.27,0.15,20,2.71,-7.54,,,
4.93,0.11,20,3.5,-13.26,,,
4.79,0.05,20,3.55,-10.63,,,
2.75,0.47,20,3.35,-9.46,,,
5.82,1.15,20,3.87,-23.98,,,
4.85,0.6,20,4.0,-16.49,,,
5.99,0.84,20,3.71,-14.68,,,
3.26,0.81,20,2.87,-11.77,,,
1.32,0.29,20,2.36,-4.74,,,
1.0,0.24,20,2.73,-2.88,,,
0.88,0.1,20,2.08,-2.46,,,
5.44,0.2,20,3.81,-19.86,,,
0.42,0.02,20,3.28,-1.35,,,
1.19,0.2,20,2.41,-5.0,,,
5.67,1.28,20,2.14,-18.48,,,
3.57,0.63,20,3.42,-12.03,,,
3.83,0.81,20,3.9,-10.26,,,
3.92,0.82,20,2.95,-15.76,,,
0.04,0.0,20,2.21,0.0,,,
1.72,0.23,20,3.93,-6.97,,,
5.11,0.82,20,2.3,-12.01,,,
5.52,0.23,20,3.74,-17.66,,,
4.64,0.33,20,3.6,-17.4,,,
0.6,0.08,20,2.46,-1.54,,,
0.14,0.03,20,2.23,0.0,,,
1.86,0.29,20,2.59,-6.88,,,
4.36,0.85,20,2.51,-9.98,,,
4.48,0.9,20,2.91,-13.13,,,
2.46,0.0,20,2.58,-8.71,,,
4.04,0.35,20,4.03,-15.63,,,
3.04,0.67,20,3.23,-8.27,,,
0.3,0.04,20,3.43,-0.92,,,
4.19,0.12,20,3.03,-16.63,,,
1.99,0.26,20,2.11,-6.57,,,
2.1,0.22,20,2.98,-4.98,,,
5.2,0.31,20,3.33,-14.61,,,
0.65,0.05,20,3.06,-1.95,,,
2.89,0.06,20,3.65,-7.43,,,
2.86,0.52,20,3.19,-11.18,,,
1.67,0.08,20,2.02,-4.18,,,
4.29,0.81,20,2.77,-11.28,,,
3.2,0.76,20,3.77,-10.02,,,
1.49,0.18,20,3.58,-4.29,,,
2.32,0.24,20,3.12,-7.12,,,
3.46,0.33,20,2.26,-12.14,,,
0.76,0.12,20,2.66,-2.99,,,
1.37,0.01,20,3.14,-5.7,,,
3.69,0.29,20,2.48,-8.3,,,
2.46,0.29,40,3.14,-9.5,,,
5.86,0.39,40,3.49,-18.4,,,
1.22,0.23,40,2.15,-2.96,,,
