vento_medio,std_vento,zavorra,delay_secondi,angolo_rampa,APOGEO_MISURATO,ANGOLO_ACC_C6
1.35,0.27,0,1.33,-4.33.00,301,"89,83"
0.22,0.0,0,2.18,-1.09.00,290,"88,43"
6.17,0.44,0,2.22,-26.31.00,218,"49,44"
3.06,0.59,0,1.11,-10.16.00,301,"86,92"
1.24,0.19,0,2.05,-3.16.00,291,"85,26"
1.14,0.05,0,2.18,-5.03.00,288,"84,48"
6.35,1.11,0,2.27,-18.27.00,278,"89,8"
5.37,0.44,0,2.25,-24.45.00,218,"48,58"
4.45,1.03,0,2.01,-17.35.00,266,"71,29"
2.43,0.4,0,3.35,-12.16.00,210,"48,96"
6.09,0.0,0,2.14,-19.29.00,282,"89,36"
0.35,0.05,0,2.42,-2.15.00,283,"83,95"
5.28,1.29,0,3.13,-26.32.00,158,"17,24"
1.24,0.07,0,1.02,-5.39.00,302,"86,17"
1.29,0.17,0,2.11,-3.13.00,289,"83,96"
3.27,0.3,0,1.2,-13.9,292,"77,73"
3.04,0.47,0,3.36,-11.07.00,253,"75,55"
2.39,0.41,0,1.58,-9.51.00,294,"81,32"
3.23,1.04,0,1.3,-14.22.00,276,"69,44"
5.04,0.35,0,2.6,-19.15.00,260,"74,21"
2.15,0.39,0,2.29,-8.33.00,283,"79,81"
5.29,1.06,0,3.05,-15.35.00,261,"89,25"
1.54,0.04,0,1.47,-6.39.00,298,"85,04"
3.51,0.6,0,2.07,-13.27.00,282,"78,64"
3.27,0.09,0,1.9,-13.06.00,288,"82,27"
0.58,0.09,0,2.53,-2.45.00,282,"87,21"
4.23,0.2,0,1.19,-18.58.00,283,"73,11"
4.34,1.32,0,2.01,-16.33.00,266,"71,78"
2.24,0.03,0,2.4,-8.57.00,284,"86,71"
3.43,1.25,0,2.34,-14.13.00,251,"59,47"
2.32,0.57,0,2.39,-9.19.00,277,"76,14"
2.07,0.05,0,1.51,-7.15.00,298,"88,99"
1.02,0.07,0,1.52,-4.46.00,298,"86,17"
1.58,0.22,0,1.43,-6.3,299,"85,6"
1.11,0.08,0,1.27,-3.02.00,301,"86,62"
3.7,0.04,0,2.14,-15.32.00,189,"36,57"
0.46,0.02,0,2.48,-2.18.00,283,"86,54"
5.55,0.47,0,1.16,-23.14.00,271,68
4.13,0.45,0,1.07,-14.37.00,299,"86,56"
0.08,0.02,0,1.38,0.0,301,"89,03"
5.05,1.05,0,2.46,-18.03.00,252,"67,14"
4.35,0.16,0,2.11,-14.38.00,286,"88,81"
4.39,0.49,0,3.03,-14.12.00,264,"82,98"
4.24,0.56,0,3.21,-20.29.00,185,"37,65"
5.31,0.8,0,3.09,-18.19.00,239,"76,41"
3.08,1.02,0,3.19,-12.35.00,236,"79,73"
5.41,0.52,0,2.23,-20.23.00,259,"67,38"
2.23,0.23,0,2.33,-10.32.00,276,"76,23"
3.39,0.54,0,3.24,-10.2,253,"70,31"
5.11,0.3,0,2.9,-22.02.00,208,"49,33"
5.35,0.49,20,3.29,-24.4,163,29.52.00
3.04,0.09,20,2.08,-8.47.00,252,74.22.00
2.27,0.15,20,1.58,-9.35.00,273,87.52.00
5.33,0.11,20,2.32,-17.21.00,251,84.12.00
5.19,0.05,20,2.38,-14.47.00,233,67.58.00
3.15,0.47,20,2.19,-12.06.00,257,84.36.00
6.22,1.15,20,3.08,-29.03.00,137,9.39
5.25,0.6,20,3.21,-20.37.00,181,"51,79"
6.39,1.24,20,2.53,-19.47.00,234,"75,65"
3.26,1.21,20,2.13,-14.38.00,229,"56,1"
1.32,0.29,20,1.25,-6.19.00,276,"82,62"
1.0,0.24,20,1.6,-4.08.00,273,"87,77"
1.28,0.1,20,1.38,-3.16.00,274,"78,68"
5.44,0.2,20,3.03,-24.21.00,168,"35,23"
0.42,0.02,20,2.12,-2.08.00,265,"86,83"
1.19,0.2,20,1.29,-6.35.00,274,"80,29"
6.07,1.28,20,1.03,-23.02.00,228,"63,79"
3.57,1.03,20,2.25,-15.29.00,228,"60,55"
4.23,1.21,20,3.11,-13.33.00,230,"86,8"
4.32,1.22,20,2.21,-19.29.00,196,"46,35"
0.04,0.0,20,1.1,0.0,280,"89,42"
2.12,0.23,20,3.14,-8.34.00,238,"87,02"
5.11,1.22,20,1.19,-16.1,265,"76,56"
5.52,0.23,20,2.55,-22.08.00,211,"59,45"
5.04,0.33,20,2.42,-21.11.00,214,"59,08"
0.6,0.08,20,1.34,-2.02.00,278,"89,58"
0.14,0.03,20,1.12,0.0,280,"87,97"
2.26,0.29,20,1.46,-8.37.00,274,"87,9"
4.36,1.25,20,1.39,-13.47.00,268,"76,72"
4.48,0.9,20,2.16,-17.11.00,237,"63,26"
2.46,0.0,20,1.46,-11.08.00,271,"81,5"
4.04,0.35,20,3.23,-19.27.00,173,"38,75"
3.04,1.07,20,2.07,-10.7,258,"75,58"
0.3,0.04,20,2.26,-1.16.00,262,"89,59"
4.19,0.12,20,2.28,-20.39.00,210,"54,72"
2.39,0.26,20,1.01,-8.16.00,279,"87,28"
2.1,0.22,20,2.23,-7.06.00,261,"87,12"
5.2,0.31,20,2.17,-19.17.00,248,"74,03"
1.05,0.05,20,2.31,-2.47.00,257,"80,5"
3.29,0.06,20,2.47,-10.14.00,246,"75,7"
3.26,0.52,20,2.04,-13.47.00,255,"74,1"
2.07,0.08,20,1.32,-5.51.00,273,"80,93"
4.29,1.21,20,2.04,-15.11.00,246,"65,6"
3.2,1.16,20,2.58,-12.58.00,234,"72,47"
1.49,0.18,20,2.41,-5.48.00,258,"89,55"
2.32,0.24,20,2.37,-9.38.00,256,"84,35"
3.46,0.33,20,1.14,-15.31.00,267,"76,29"
1.16,0.12,20,1.53,-3.59.00,274,"86,95"
1.37,0.01,20,2.38,-6.8,254,"79,27"
4.09,0.29,20,1.36,-11.25.00,266,"78,67"
2.46.00,0.29.00,40,2.24.00,-11:46:00.000,230,"77,82"
6.26,0.39,40,2.19,-23.09.00,216,"71,97"
1.22,0.23,40,1.25,-4.34.00,255,"86,2"
3.52,0.18,40,2.5,-11.16.00,214,"70,63"
2.31,0.02,40,2.15,-7.11.00,231,"77,79"
2.27,0.39,40,3.06,-8.58.00,213,"81,77"
1.11,0.1,40,1.26,-4.15.00,201,"53,87"
1.58,0.31,40,2.11,-7.19.00,239,"84,93"
5.36,1.24,40,1.11,-16.4,241,"74,2"
0.21,0.01,40,2.22,-1.22.00,238,"87,31"
2.53,0.39,40,2.35,-11.44.00,230,"80,82"
4.45,1.18,40,2.03,-22.16.00,200,"56,28"
5.36,1.27,40,2.29,-20.09.00,226,"83,29"
3.36,0.2,40,1.03,-14.18.00,230,"81,13"
4.1,1.23,40,1.54,-17.17.00,244,"86,89"
4.0,1.13,40,2.38,-19.24.00,207,"64,9"
3.07,1.04,40,2.43,-15.2,219,"74,22"
5.08,1.02,40,1.4,-19.17.00,246,"89,5"
5.57,0.45,40,1.36,-19.05.00,246,"87,18"
1.36,0.0,40,2.23,-4.29.00,235,"83,03"
1.8,0.44,40,2.45,-7.37.00,231,"87,34"
1.51,0.17,40,1.22,-6.15.00,256,"89,83"
5.13,0.16,40,2.33,-25.5,160,"39,18"
5.11,0.13,40,2.01,-21.48.00,214,"67,27"
3.17,0.22,40,2.38,-9.03.00,210,"65,35"
1.09,0.05,40,3.17,-3.06.00,203,"74,13"
3.31,1.13,40,2.59,-14.14.00,224,"87,37"
3.34,1.04,40,2.28,-12.32.00,226,"81,7"
1.17,0.01,40,2.18,-3.16.00,235,"81,07"
3.23,0.44,40,0.9,-11.14.00,255,"83,27"
1.31,0.21,40,1.18,-3.16.00,252,"79,56"
4.39,0.46,40,1.35,-19.14.00,241,"77,44"
5.49,0.59,40,1.3,-25.16.00,212,"62,38"
3.08,0.44,40,1.32,-9.38.00,244,"75,78"
5.31,1.01,40,2.05,-20.29.00,230,"80,46"
0.43,0.01,40,3.11,-1.35.00,214,"82,84"
0.49,0.05,40,1.2,-2.31.00,257,"88,67"
2.12,0.02,40,2.11,-7.37.00,238,"84,57"
1.42,0.3,40,2.56,-4.37.00,222,"75,62"
2.34,0.1,40,1.39,-10.32.00,251,"84,31"
4.24,1.38,40,2.6,-15.24.00,210,"69,19"
5.23,1.2,40,1.46,-25.47.00,194,55.1
4.02,0.53,40,2.15,-17.09.00,224,76.41.00
0.26,0.03,40,2.27,-1.32.00,237,88.18.00
6.11,0.28,40,1.56,-21.47.00,240,84.02.00
4.15,0.54,40,2.07,-18.36.00,219,72.02.00
6.31,0.33,40,1.5,-26.29.00,205,61.25.00
2.0,0.38,40,1.05,-7.3,258,90.25.00
4.31,0.5,40,3.16,-19.21.00,163,44.5
0.08,0.02,40,1.16,0.0,258,88.7
1.49,0.32,60,0.9,-7.33.00,238,85.5
5.27,1.27,60,1.25,-21.03.00,217,89.1
3.19,0.48,60,1.39,-10.27.00,222,73.9
1.31,0.31,60,1.7,-4.34.00,224,84.1
0.36,0.04,60,2.33,-2.15.00,211,83.9
3.08,0.24,60,2.17,-10.21.00,204,75.4
4.43,0.46,60,2.17,-15.02.00,202,77.6
1.12,0.03,60,2.36,-2.49.00,201,73.4
6.14,1.02,60,2.12,-20.03.00,200,86.3
2.26,0.42,60,1.0,-7.07.00,232,80.7
0.56,0.05,60,2.01,-2.59.00,220,88.0
5.06,0.6,60,1.31,-15.31.00,215,70.3
4.28,1.08,60,1.29,-17.8,221,90.0
3.02,0.32,60,2.14,-10.48.00,209,79.2
4.28,0.12,60,1.4,-14.39.00,224,79.5
